"id";"status";"cat";"ward";"firstDate";"lastDate"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-01 08:00:00";"2009-07-01 15:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-02 08:00:00";"2009-07-02 16:40:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-03 08:00:00";"2009-07-03 14:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-15 07:00:00";"2009-07-15 16:40:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-16 08:00:00";"2009-07-16 17:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-20 07:00:00";"2009-07-20 17:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-21 07:00:00";"2009-07-21 16:15:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-22 08:30:00";"2009-07-22 16:50:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-23 08:40:00";"2009-07-23 16:45:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-24 08:40:00";"2009-07-24 15:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-27 07:00:00";"2009-07-27 16:30:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-28 06:50:00";"2009-07-28 15:25:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-29 08:40:00";"2009-07-29 16:30:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-07-30 08:35:00";"2009-07-30 16:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-08-03 07:00:00";"2009-08-03 16:20:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-08-04 07:00:00";"2009-08-04 16:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-08-05 08:00:00";"2009-08-05 16:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-08-06 08:10:00";"2009-08-06 16:20:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-08-10 07:00:00";"2009-08-10 16:40:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-08-11 07:00:00";"2009-08-11 16:20:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-08-12 08:00:00";"2009-08-12 16:15:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-08-13 08:05:00";"2009-08-13 15:30:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-08-24 07:00:00";"2009-08-24 16:55:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-08-25 07:00:00";"2009-08-25 16:05:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-08-26 07:30:00";"2009-08-26 16:15:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-08-27 07:30:00";"2009-08-27 15:50:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-08-31 07:00:00";"2009-08-31 16:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-01 07:00:00";"2009-09-01 16:20:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-02 08:00:00";"2009-09-02 15:40:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-03 09:10:00";"2009-09-03 16:35:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-07 07:25:00";"2009-09-07 16:05:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-08 07:30:00";"2009-09-08 16:10:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-09 08:00:00";"2009-09-09 16:30:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-10 09:00:00";"2009-09-10 16:45:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-11 09:00:00";"2009-09-11 16:40:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-14 07:30:00";"2009-09-14 17:50:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-15 07:30:00";"2009-09-15 15:10:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-16 07:10:00";"2009-09-16 17:30:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-17 09:00:00";"2009-09-17 17:50:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-21 07:30:00";"2009-09-21 16:10:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-22 07:25:00";"2009-09-22 16:40:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-23 08:00:00";"2009-09-23 15:05:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-24 09:00:00";"2009-09-24 16:20:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-28 07:00:00";"2009-09-28 15:16:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-29 07:00:00";"2009-09-29 16:05:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-09-30 08:10:00";"2009-09-30 18:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-01 14:00:00";"2009-10-01 17:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-02 09:00:00";"2009-10-02 15:40:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-05 07:00:00";"2009-10-05 16:05:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-06 07:30:00";"2009-10-06 15:30:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-07 08:00:00";"2009-10-07 15:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-08 09:00:00";"2009-10-08 14:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-09 09:00:00";"2009-10-09 15:00:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-12 06:50:00";"2009-10-12 15:35:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-13 07:30:00";"2009-10-13 16:35:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-15 09:00:00";"2009-10-15 16:50:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-16 09:05:00";"2009-10-16 13:45:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-19 07:35:00";"2009-10-19 15:20:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-20 07:20:00";"2009-10-20 16:30:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-22 08:50:00";"2009-10-22 16:45:00"
"PE-001-DEM";"PE";"IDE";"Menard 1";"2009-10-23 09:00:00";"2009-10-23 15:40:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-02 00:00:00";"2009-07-02 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-03 00:00:00";"2009-07-03 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-04 00:00:00";"2009-07-04 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-05 00:00:00";"2009-07-05 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-06 00:00:00";"2009-07-06 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-07 00:00:00";"2009-07-07 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-08 00:00:00";"2009-07-08 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-09 00:00:00";"2009-07-09 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-10 00:00:00";"2009-07-10 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-15 00:00:00";"2009-07-15 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-16 00:00:00";"2009-07-16 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-17 00:00:00";"2009-07-17 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-27 00:00:00";"2009-07-27 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-28 00:00:00";"2009-07-28 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-29 00:00:00";"2009-07-29 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-07-31 00:00:00";"2009-07-31 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-08-01 00:00:00";"2009-08-01 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-08-02 00:00:00";"2009-08-02 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-08-03 00:00:00";"2009-08-03 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-08-04 00:00:00";"2009-08-04 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-08-05 00:00:00";"2009-08-05 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-08-06 00:00:00";"2009-08-06 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-08-07 00:00:00";"2009-08-07 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-08-08 00:00:00";"2009-08-08 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-08-10 00:00:00";"2009-08-10 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-08-11 00:00:00";"2009-08-11 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-08-12 00:00:00";"2009-08-12 23:05:00"
"PE-002-MOB";"PE";"Medecin";"Menard 1";"2009-08-13 00:00:00";"2009-08-13 23:05:00"
